Filename	**REDACTED**
Instrument name	HR20 **REDACTED**
Operator	**REDACTED**
rundate	**REDACTED**
Sample name	**REDACTED**
Geometry name	8 mm parallel plate, ETC Stainless steel, Disposable
Procedure name	Options
	Sample
	Options
	Time sweep
	Stress relaxation
	Time sweep
	Stress relaxation
	Time sweep
	Stress relaxation
	Time sweep
	Stress relaxation
	End of test
proceduresegments	Time sweep#Stress relaxation#Time sweep#Stress relaxation#Time sweep#Stress relaxation#Time sweep#Stress relaxation#End of test
[step]
Time sweep - 1
Storage modulus	Loss modulus	Tan(delta)	Angular frequency	Oscillation torque	Step time	Temperature	Raw phase	Oscillation displacement
MPa	MPa		rad/s	µN.m	min	°C	°	rad
8008,12	9,94015e-3	0,00	1,59319	169,99	1,04872	795,227
8008,01	9,94041e-3	0,00	1,59313	169,99	1,04028	795,227
8008,10	9,94037e-3	0,00	1,59316	169,99	1,03740	795,227
8004,34	9,94076e-3	0,00	1,59234	169,99	1,04466	795,227
8002,89	9,94084e-3	0,00	1,59204	169,99	1,03548	795,227
8001,00	9,94110e-3	0,00	1,59163	169,99	1,03332	795,227
7998,70	9,94119e-3	0,00	1,59115	169,99	1,04470	795,227
7995,16	9,94136e-3	0,00	1,59042	169,99	1,03516	795,227
7993,56	9,94136e-3	0,00	1,59010	169,99	1,04337	795,227
7991,80	9,94139e-3	0,00	1,58975	169,99	1,04741	795,227
7987,07	9,94151e-3	0,00	1,58879	169,99	1,04351	795,227
7988,52	9,94145e-3	0,00	1,58909	169,99	1,05006	795,227
7985,02	9,94147e-3	0,00	1,58839	169,99	1,05326	795,227
7983,73	9,94141e-3	0,00	1,58814	169,99	1,04682	795,227
7980,86	9,94145e-3	0,00	1,58756	169,99	1,06109	795,227
7977,32	9,94157e-3	0,00	1,58684	169,99	1,05180	795,227
7974,59	9,94162e-3	0,00	1,58629	169,99	1,05539	795,227
7971,06	9,94189e-3	0,00	1,58554	169,99	1,06301	795,227
7968,54	9,94187e-3	0,00	1,58505	169,99	1,06010	795,227
7965,37	9,94206e-3	0,00	1,58438	169,99	1,05225	795,227
7961,59	9,94211e-3	0,00	1,58362	169,99	1,05935	795,227
7959,73	9,94203e-3	0,00	1,58327	169,99	1,04130	795,227
7957,69	9,94185e-3	0,00	1,58289	169,99	1,05118	795,227
7953,98	9,94189e-3	0,00	1,58215	169,99	1,04932	795,227
7956,26	9,94146e-3	0,00	1,58267	169,99	1,04588	795,227
7948,76	9,94186e-3	0,00	1,58111	169,99	1,05177	795,227
7954,24	9,94124e-3	0,00	1,58230	169,99	1,04748	795,227
7944,80	9,94176e-3	0,00	1,58034	169,99	1,03486	795,227
7945,34	9,94156e-3	0,00	1,58048	169,99	1,03837	795,227
7943,61	9,94148e-3	0,00	1,58015	169,99	1,03339	795,227
7941,71	9,94140e-3	0,00	1,57974	169,99	1,03347	795,207
7938,05	9,94154e-3	0,00	1,57899	169,99	1,04351	795,207
7940,30	9,94121e-3	0,00	1,57949	169,99	1,03977	795,207
7934,97	9,94148e-3	0,00	1,57839	169,99	1,04362	795,207
7933,83	9,94146e-3	0,00	1,57817	169,99	1,05307	795,207
7931,30	9,94137e-3	0,00	1,57768	169,99	1,04568	795,207
7931,31	9,94123e-3	0,00	1,57770	169,99	1,05403	795,207
7926,39	9,94143e-3	0,00	1,57669	169,99	1,05713	795,207
7928,40	9,94117e-3	0,00	1,57713	169,99	1,05394	795,207
7922,91	9,94143e-3	0,00	1,57600	169,99	1,06774	795,207
7922,27	9,94129e-3	0,00	1,57589	169,99	1,05735	795,207
7917,90	9,94129e-3	0,00	1,57503	169,99	1,05567	795,207
7912,87	9,94149e-3	0,01	1,57399	169,99	1,05861	795,207
7910,19	9,94132e-3	0,01	1,57349	169,99	1,05692	795,207
7905,87	9,94136e-3	0,01	1,57262	169,99	1,04590	795,207
7902,22	9,94130e-3	0,01	1,57190	169,99	1,05362	795,207
7897,81	9,94141e-3	0,01	1,57101	169,99	1,05539	795,207
7894,38	9,94134e-3	0,01	1,57034	169,99	1,04878	795,207
7890,75	9,94131e-3	0,01	1,56962	169,99	1,04309	795,207
7886,56	9,94132e-3	0,01	1,56879	169,99	1,05111	795,207
7883,64	9,94128e-3	0,01	1,56821	169,99	1,05764	795,207
7877,90	9,94142e-3	0,01	1,56705	169,99	1,05050	795,207
7875,27	9,94131e-3	0,01	1,56654	169,99	1,04937	795,207
7873,27	9,94113e-3	0,01	1,56617	169,99	1,05363	795,207
7867,46	9,94140e-3	0,01	1,56498	169,99	1,04245	795,207
7863,73	9,94129e-3	0,01	1,56425	169,99	1,03943	795,207
